	brain	kidney	liver
ENSMUSG00000000001	10.131536666666667	33.855266666666665	29.36753333333333
ENSMUSG00000000003	0.0	0.0	0.0
ENSMUSG00000000028	0.8780223333333333	0.7286860000000001	0.4911156666666667
ENSMUSG00000000031	0.09905176666666667	0.19681933333333335	0.07235203333333333
ENSMUSG00000000037	0.580018	0.357693	0.0
ENSMUSG00000000049	0.9309353333333332	6.246926666666667	1540.5433333333333
ENSMUSG00000000056	15.544866666666666	10.256443333333333	18.14656666666667
ENSMUSG00000000058	13.1556	13.396600000000001	2.41257
ENSMUSG00000000078	11.874366666666667	8.429803333333334	2.097046666666667
ENSMUSG00000000085	25.5344	11.609833333333334	3.8651633333333333
ENSMUSG00000000088	185.35500000000002	382.0933333333333	205.38700000000003
ENSMUSG00000000093	0.9795203333333333	18.0241	0.6064283333333335
ENSMUSG00000000094	0.08600546666666668	0.00984	0.0
ENSMUSG00000000103	0.0	0.0	0.0
ENSMUSG00000000120	2.3050966666666666	0.5829243333333333	1.20751
ENSMUSG00000000125	1.66726	0.008620966666666667	0.0
ENSMUSG00000000126	5.07782	0.5375543333333334	0.2323656666666667
ENSMUSG00000000127	5.98886	3.2051366666666667	3.0806333333333336
ENSMUSG00000000131	35.823233333333334	17.721500000000002	16.454633333333334
ENSMUSG00000000134	15.662700000000001	10.709203333333333	8.670456666666666
ENSMUSG00000000142	8.37619	0.710083	2.63571
ENSMUSG00000000148	8.479123333333334	5.57742	3.89973
ENSMUSG00000000149	34.1662	44.053733333333334	58.32333333333333
ENSMUSG00000000154	0.60553	329.58833333333337	80.09246666666667
ENSMUSG00000000157	0.09380483333333334	0.8045220000000001	0.41465733333333327
ENSMUSG00000000159	0.722752	33.31196666666667	16.2128
ENSMUSG00000000167	2.516086666666667	1.9811466666666668	0.49295700000000003
ENSMUSG00000000168	40.407999999999994	68.6938	26.733999999999998
ENSMUSG00000000171	48.84923333333333	169.83400000000003	113.26333333333334
ENSMUSG00000000182	0.24735566666666664	0.0	0.0
ENSMUSG00000000183	0.019450566666666662	0.0	0.0
ENSMUSG00000000184	12.508133333333333	3.593436666666667	2.4323433333333333
ENSMUSG00000000194	12.19426666666667	14.349200000000002	6.118723333333333
ENSMUSG00000000197	19.906266666666667	0.04753123333333333	0.0081659
ENSMUSG00000000202	10.39837	0.0	0.0
ENSMUSG00000000204	0.04227899999999999	0.08698313333333334	0.2054446
ENSMUSG00000000214	5.353863333333334	0.0	0.0
ENSMUSG00000000215	0.9196733333333333	0.0	0.0
ENSMUSG00000000216	0.03454656666666667	14.084833333333334	0.008892833333333334
ENSMUSG00000000223	18.4224	0.015924466666666668	0.015890766666666667
ENSMUSG00000000244	0.0388627	0.617608	0.13290026666666666
ENSMUSG00000000247	19.507733333333334	0.03853943333333333	1.1767113333333334
ENSMUSG00000000248	0.02939916666666667	0.011208766666666668	0.16805233333333333
ENSMUSG00000000253	25.05803333333333	39.312866666666665	0.7396753333333334
ENSMUSG00000000263	1.1709616666666667	0.013406600000000005	0.0
ENSMUSG00000000266	8.468493333333333	6.992773333333333	2.02813
ENSMUSG00000000275	1.7697800000000001	21.13403333333333	22.149733333333334
ENSMUSG00000000276	18.148233333333334	1.6955600000000002	0.47372533333333333
ENSMUSG00000000278	7.798266666666667	73.02380000000001	26.3214
ENSMUSG00000000282	13.510133333333334	10.15734	4.79973
ENSMUSG00000000290	2.1448766666666668	1.8677499999999998	2.8469266666666666
ENSMUSG00000000295	8.685993333333334	4.539743333333333	1.3211766666666664
ENSMUSG00000000296	18.581500000000002	8.162766666666666	4.816669999999999
ENSMUSG00000000301	2.5589099999999996	2.2756600000000002	260.609
ENSMUSG00000000303	0.40382100000000004	48.361766666666675	12.739553333333333
ENSMUSG00000000305	8.20852	1.0510656666666667	0.3095206666666666
ENSMUSG00000000308	121.93566666666668	29.854466666666667	0.22324846666666667
ENSMUSG00000000317	0.5565583333333333	2.094256666666667	0.7008976666666666
ENSMUSG00000000318	0.6769756666666668	1.0254	0.4316343333333333
ENSMUSG00000000320	0.5024853333333333	1.8169166666666665	0.3357566666666667
ENSMUSG00000000325	13.193233333333334	14.401133333333334	5.654466666666667
ENSMUSG00000000326	53.9614	127.31766666666665	370.0303333333334
ENSMUSG00000000339	27.76053333333333	16.701066666666666	5.984906666666667
ENSMUSG00000000340	5.748023333333333	41.1899	29.013
ENSMUSG00000000346	57.32136666666667	124.72033333333331	66.22076666666666
ENSMUSG00000000355	38.50086666666667	30.224333333333334	27.893033333333335
ENSMUSG00000000359	0.5840576666666667	3.339266666666667	0.2569454666666667
