	node	path	count_node	joint_count	joint_count_child	cond_prob	count_ancestor	rel_freq
33	GO:0000175	GO:0000175,GO:0003674,GO:0003824,GO:0004518,GO:0004527,GO:0004532,GO:0004540,GO:0008408,GO:0016787,GO:0016788,GO:0016796,GO:0016896,GO:0140098	101	104.0	101.0	0.971153846153846	77124	0.0013095793786629323
34	GO:0000179	GO:0000179,GO:0003674,GO:0003824,GO:0008168,GO:0008170,GO:0008173,GO:0008649,GO:0008757,GO:0016433,GO:0016740,GO:0016741,GO:0140098,GO:0140102	4	9.0	4.0	0.4444444444444444	77124	5.186452984803693e-05
35	GO:0000182	GO:0000182,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0005488,GO:0043565,GO:0097159,GO:1901363,GO:1990837	37	3390.0	37.0	0.010914454277286136	77124	0.0004797469010943416
36	GO:0000210	GO:0000210,GO:0003674,GO:0003824,GO:0004551,GO:0016462,GO:0016787,GO:0016817,GO:0016818	6	37.0	6.0	0.16216216216216214	77124	7.779679477205539e-05
37	GO:0000213	GO:0000213,GO:0003674,GO:0003824,GO:0004518,GO:0004519,GO:0004521,GO:0004540,GO:0004549,GO:0016787,GO:0016788,GO:0016892,GO:0016894,GO:0140098,GO:0140101	5	5.0	5.0	1.0	77124	6.483066231004616e-05
38	GO:0000215	GO:0000215,GO:0003674,GO:0003824,GO:0016740,GO:0016772,GO:0016773,GO:0140098,GO:0140101	4	5.0	4.0	0.8	77124	5.186452984803693e-05
39	GO:0000217	GO:0000217,GO:0003674,GO:0003676,GO:0003677,GO:0005488,GO:0097159,GO:1901363	105	6242.0	105.0	0.01682153156039731	77124	0.0013614439085109693
40	GO:0000224	GO:0000224,GO:0003674,GO:0003824,GO:0016787,GO:0016810,GO:0016811	9	399.0	9.0	0.022556390977443608	77124	0.00011669519215808309
41	GO:0000225	GO:0000225,GO:0003674,GO:0003824,GO:0016787,GO:0016810,GO:0016811,GO:0019213	5	161.0	5.0	0.031055900621118005	77124	6.483066231004616e-05
42	GO:0000234	GO:0000234,GO:0003674,GO:0003824,GO:0008168,GO:0008170,GO:0008757,GO:0016740,GO:0016741	3	316.0	3.0	0.00949367088607595	77124	3.8898397386027695e-05
43	GO:0000246	GO:0000246,GO:0003674,GO:0003824,GO:0016491,GO:0016627,GO:0016628	3	141.0	3.0	0.02127659574468085	77124	3.8898397386027695e-05
44	GO:0000247	GO:0000247,GO:0003674,GO:0003824,GO:0016853,GO:0016860,GO:0016863	6	55.0	6.0	0.10909090909090907	77124	7.779679477205539e-05
45	GO:0000248	GO:0000248,GO:0003674,GO:0003824,GO:0016491,GO:0016705,GO:0016717,GO:0070704	6	10.0	6.0	0.6	77124	7.779679477205539e-05
46	GO:0000249	GO:0000249,GO:0003674,GO:0003824,GO:0016491,GO:0016705,GO:0016717,GO:0070704	4	10.0	4.0	0.4	77124	5.186452984803693e-05
47	GO:0000250	GO:0000250,GO:0003674,GO:0003824,GO:0016853,GO:0016866,GO:0031559	7	39.0	7.0	0.1794871794871795	77124	9.076292723406462e-05
48	GO:0000252	GO:0000252,GO:0003674,GO:0003824,GO:0016491,GO:0016614,GO:0016616	3	809.0	3.0	0.003708281829419036	77124	3.8898397386027695e-05
49	GO:0000253	GO:0000253,GO:0003674,GO:0003824,GO:0016491,GO:0016614,GO:0016616	8	809.0	8.0	0.009888751545117428	77124	0.00010372905969607386
50	GO:0000254	GO:0000254,GO:0003674,GO:0003824,GO:0004497,GO:0016491,GO:0016705,GO:0016709	6	231.0	6.0	0.025974025974025976	77124	7.779679477205539e-05
51	GO:0000257	GO:0000257,GO:0003674,GO:0003824,GO:0016787,GO:0016810,GO:0016815	9	9.0	9.0	1.0	77124	0.00011669519215808309
52	GO:0000268	GO:0000268,GO:0003674,GO:0005048,GO:0005488,GO:0033218,GO:0042277	19	81.0	19.0	0.2345679012345679	77124	0.0002463565167781754
53	GO:0000277	GO:0000277,GO:0003674,GO:0003824,GO:0008168,GO:0008170,GO:0008276,GO:0008757,GO:0016278,GO:0016279,GO:0016740,GO:0016741,GO:0140096	1	172.0	1.0	0.005813953488372093	77124	1.2966132462009232e-05
54	GO:0000285	GO:0000285,GO:0003674,GO:0003824,GO:0016301,GO:0016307,GO:0016740,GO:0016772,GO:0016773	8	52.0	8.0	0.15384615384615385	77124	0.00010372905969607386
55	GO:0000286	GO:0000286,GO:0003674,GO:0003824,GO:0016491,GO:0016638	8	143.0	8.0	0.05594405594405594	77124	0.00010372905969607386
56	GO:0000287	GO:0000287,GO:0003674,GO:0005488,GO:0043167,GO:0043169,GO:0046872	616	2731.0	616.0	0.2255584035151959	77124	0.007987137596597686
57	GO:0000293	GO:0000293,GO:0003674,GO:0003824,GO:0016491,GO:0016722,GO:0016723	25	36.0	25.0	0.6944444444444444	77124	0.0003241533115502308
58	GO:0000295	GO:0000295,GO:0003674,GO:0005215,GO:0015215,GO:0015216,GO:0015605,GO:0015932,GO:0022857	47	0.0	0.0		77124	0.0006094082257144339
59	GO:0000297	GO:0000297,GO:0003674,GO:0005215,GO:0008324,GO:0015075,GO:0015203,GO:0022857	4	0.0	0.0		77124	5.186452984803693e-05
60	GO:0000298	GO:0000298,GO:0003674,GO:0003824,GO:0016462,GO:0016787,GO:0016817,GO:0016818	3	1905.0	3.0	0.0015748031496062992	77124	3.8898397386027695e-05
61	GO:0000309	GO:0000309,GO:0003674,GO:0003824,GO:0016740,GO:0016772,GO:0016779,GO:0070566	12	159.0	12.0	0.07547169811320754	77124	0.00015559358954411078
62	GO:0000310	GO:0000310,GO:0003674,GO:0003824,GO:0016740,GO:0016757,GO:0016763,GO:0106130	4	26.0	4.0	0.15384615384615385	77124	5.186452984803693e-05
63	GO:0000319	GO:0000319,GO:0003674,GO:0005215,GO:0008509,GO:0015075,GO:0015103,GO:0015318,GO:0022857,GO:1901682	1	0.0	0.0		77124	1.2966132462009232e-05
64	GO:0000332	GO:0000332,GO:0000497,GO:0003674,GO:0003676,GO:0003677,GO:0003720,GO:0003824,GO:0003964,GO:0005488,GO:0016740,GO:0016772,GO:0016779,GO:0034061,GO:0097159,GO:0140097,GO:0140489,GO:1901363	4	4.0	4.0	1.0	77124	5.186452984803693e-05
65	GO:0000334	GO:0000334,GO:0003674,GO:0003824,GO:0016491,GO:0016701,GO:0016702,GO:0051213	4	141.0	4.0	0.02836879432624113	77124	5.186452984803693e-05
66	GO:0000339	GO:0000339,GO:0003674,GO:0003676,GO:0003723,GO:0005488,GO:0097159,GO:1901363	75	4048.0	75.0	0.018527667984189724	77124	0.0009724599346506924
67	GO:0000340	GO:0000339,GO:0000340,GO:0003674,GO:0003676,GO:0003723,GO:0005488,GO:0097159,GO:1901363	51	75.0	51.0	0.68	77124	0.0006612727555624708
68	GO:0000341	GO:0000339,GO:0000341,GO:0003674,GO:0003676,GO:0003723,GO:0005488,GO:0097159,GO:1901363	4	75.0	4.0	0.05333333333333334	77124	5.186452984803693e-05
69	GO:0000342	GO:0000339,GO:0000342,GO:0003674,GO:0003676,GO:0003723,GO:0005488,GO:0097159,GO:1901363	5	75.0	5.0	0.06666666666666668	77124	6.483066231004616e-05
70	GO:0000384	GO:0000384,GO:0003674,GO:0003824,GO:0140098	14	0.0	0.0		77124	0.00018152585446812924
