	0
GO:0002081	6
GO:0008023	138
GO:0031462	29
GO:0070449	11
GO:0009534	443
GO:0031976	451
GO:0031977	58
GO:0001518	42
GO:0033268	33
GO:0034702	575
GO:0034703	423
GO:0034706	59
GO:0043194	40
GO:1902495	694
GO:1990351	738
GO:0030176	290
GO:0031227	301
GO:0035861	145
GO:0090734	169
GO:0030863	501
GO:0030864	344
GO:0005742	32
GO:0098799	57
GO:0005798	329
GO:0030117	199
GO:0030120	136
GO:0030126	30
GO:0030137	64
GO:0030660	164
GO:0030663	36
GO:0048475	199
GO:0009524	66
GO:0009574	18
GO:0031514	356
GO:0036126	189
GO:0097225	41
GO:0097729	218
GO:0001527	23
GO:0005776	164
GO:0005775	203
GO:0043202	97
GO:0031312	138
GO:0031314	40
GO:0001534	7
GO:0005879	12
GO:0005930	521
GO:0097545	4
GO:0097649	1
GO:0042555	52
GO:0020036	90
GO:0030430	442
GO:0033646	560
GO:0033655	346
GO:0043656	562
GO:0031233	90
GO:0031362	66
GO:0016586	56
GO:0035060	22
GO:0005826	98
GO:0032153	492
GO:0032154	208
GO:0070938	125
GO:0005758	192
GO:0031970	212
GO:0042719	16
GO:0042721	10
GO:0005700	346
GO:0005704	26
GO:0034708	223
GO:0035097	170
GO:0044665	33
GO:0005813	1266
GO:0005882	138
GO:0035371	101
GO:0044352	27
GO:0044354	27
GO:0045111	247
GO:1990752	121
GO:0005814	212
GO:0019005	130
GO:0008328	96
GO:0017146	28
GO:0043195	254
GO:0043197	249
GO:0043235	606
GO:0043679	397
GO:0044306	434
GO:0044309	261
GO:0098802	394
GO:0098878	98
GO:0031082	58
GO:0031083	49
GO:0034707	15
GO:0070820	164
GO:0070821	73
GO:0048188	37
GO:0030496	323
GO:0045495	211
GO:0060293	196
GO:0016592	146
GO:0005765	336
GO:0005766	157
GO:0035577	59
GO:0042582	157
GO:0005643	274
GO:0034399	332
GO:0005967	9
GO:0045254	33
GO:0005788	394
GO:1990909	17
GO:0034967	11
GO:0030008	49
GO:0005581	81
GO:0070461	113
GO:0071819	11
GO:0005902	166
GO:0098858	444
GO:0005953	9
GO:0000126	11
GO:0090576	27
GO:0000307	85
GO:0000428	355
GO:0000439	27
GO:0005675	46
GO:0016591	256
GO:0019907	4
GO:0019908	29
GO:0032806	64
GO:0055029	340
GO:0070516	4
GO:0070985	9
GO:0150005	13
GO:1902554	199
GO:1902911	242
GO:0000792	331
GO:0031672	182
GO:0009505	191
GO:0000923	12
GO:0000930	64
GO:0005816	187
GO:0044732	87
GO:0090406	83
GO:0009535	352
GO:0034357	426
GO:0042651	390
GO:0055035	362
GO:0031360	4
GO:0031361	3
GO:0097546	70
GO:0030315	112
GO:0044326	7
GO:0009317	8
GO:0033768	8
GO:0000159	39
GO:0008287	113
GO:1903293	117
GO:0072546	22
GO:0001891	67
GO:0000931	19
GO:0008274	18
GO:0005925	365
GO:0030055	474
GO:0000777	184
GO:0000778	134
GO:0000779	240
GO:0000780	134
GO:0000793	642
GO:0000794	369
GO:0005721	100
GO:0032133	34
GO:0072686	379
GO:0072687	66
GO:1990023	75
GO:1990385	16
GO:0002116	5
GO:0032281	36
GO:0098985	6
GO:0016442	155
GO:0031332	163
GO:0008180	72
GO:0033256	6
GO:0005923	171
GO:0016327	75
GO:0043296	342
GO:0070160	283
GO:0000131	79
GO:0005933	229
GO:0005934	93
GO:0005935	181
GO:0043332	92
GO:0051286	386
GO:0060187	421
GO:0032398	6
GO:0042611	39
GO:0005767	86
GO:0020020	26
GO:0032010	59
GO:0044232	100
GO:0044233	35
GO:0001750	184
GO:0097731	251
GO:0097733	234
GO:1990316	25
GO:0000235	84
GO:0005818	102
GO:0005912	329
GO:0005927	80
GO:0030175	235
GO:0044295	108
GO:0045169	121
GO:0045277	45
GO:0070069	116
GO:0008076	139
GO:0034705	161
GO:0001401	12
GO:0032865	10
GO:0045095	44
GO:0000502	336
GO:0005838	107
GO:0008540	33
GO:0022624	125
GO:1905368	461
GO:1905369	359
GO:0001650	290
GO:0043240	14
GO:0005770	513
GO:0031983	339
GO:0034774	332
GO:0060205	334
GO:0030027	256
GO:0031371	27
GO:0031372	8
GO:0043076	6
GO:0043078	6
GO:0033647	235
GO:0033648	231
GO:0042025	169
GO:0035692	4
GO:0005964	7
GO:0032040	74
GO:0033553	33
GO:0034455	9
GO:0009382	2
GO:0000815	19
GO:0036452	58
GO:0000939	22
GO:0000941	11
GO:0031511	12
GO:0000796	39
GO:0044815	110
GO:0036062	39
GO:0030118	97
GO:0000417	9
GO:0005791	144
GO:0043083	37
GO:0032432	156
GO:0070648	4
GO:0097518	5
GO:0110085	69
GO:0000242	49
GO:0001674	42
GO:0001939	9
GO:0001940	11
GO:0042585	26
GO:0043073	115
GO:0045120	45
GO:0031528	45
GO:0005859	26
GO:0016460	50
GO:0043196	27
GO:0043204	205
GO:0070852	33
GO:0030874	17
GO:0101002	124
GO:1904813	124
GO:0031519	121
GO:0035098	39
GO:0005685	61
GO:0030532	218
GO:0097525	188
GO:0120114	245
GO:0000803	76
GO:0001741	34
GO:0016514	61
GO:0071564	15
GO:0071565	14
GO:0043186	187
GO:0035869	213
GO:0097482	28
GO:0098975	51
GO:0035580	62
GO:0043034	35
GO:0044291	164
GO:0031430	123
GO:0016593	38
GO:0035327	78
GO:0055087	8
GO:0098591	9
GO:0001725	120
GO:0005915	31
GO:0016328	153
GO:0030057	50
GO:0030485	9
GO:0030486	4
GO:0042641	142
GO:0090636	2
GO:0090637	2
GO:0097433	14
GO:0097517	120
GO:1990357	9
GO:0005673	9
GO:0008250	31
GO:0005891	82
GO:0030666	285
GO:0034704	120
GO:1990454	19
GO:0019012	448
GO:0005796	144
GO:0005833	21
GO:0031838	3
GO:0071682	26
GO:1904724	55
GO:0000781	279
GO:0000782	44
GO:0000783	37
GO:0030870	19
GO:0070187	16
GO:0140445	77
GO:0033565	9
GO:0019814	29
GO:0042571	17
GO:0071745	7
GO:0071746	7
GO:0071748	4
GO:0071749	7
GO:0071750	5
GO:0071751	5
GO:0071752	3
GO:0071753	8
GO:0071754	3
GO:0071756	3
GO:0071757	2
GO:0046540	70
GO:0071001	4
GO:0097526	71
GO:0001673	64
GO:0030875	8
GO:0016027	10
GO:0016028	58
GO:0033583	13
GO:0042622	29
GO:0097381	41
GO:0097648	19
GO:0005839	97
GO:0019773	28
GO:0016605	96
GO:0120219	6
GO:0001726	195
GO:0033270	39
GO:0044840	6
GO:0044841	5
GO:0032994	39
GO:0034358	33
GO:0034364	26
GO:1990777	33
GO:0000325	166
GO:0009705	118
GO:0005614	50
GO:0097427	16
GO:0005753	110
GO:0016469	185
GO:0045259	128
GO:0005771	115
GO:0035693	1
GO:0042613	25
GO:0017053	183
GO:0090571	18
GO:1990433	3
GO:0031941	51
GO:0043230	465
GO:0043263	3
GO:0043264	4
GO:0089717	40
GO:0097431	53
GO:0005681	288
GO:0071013	91
GO:1990124	41
GO:0030056	40
GO:0000795	92
GO:0097047	2
GO:0099086	100
GO:0030868	6
GO:0030288	163
GO:0030313	346
GO:0031616	26
GO:0051285	60
GO:0099738	355
GO:0000142	19
GO:0030478	28
GO:0039713	33
GO:0039715	11
GO:0005583	21
GO:0005584	4
GO:0098643	21
GO:0098644	48
GO:0016363	129
GO:0044224	17
GO:0044305	30
GO:0030867	48
GO:0098554	49
GO:0098556	27
GO:0030428	115
GO:0035578	90
GO:0042470	44
GO:0048770	45
GO:0034245	5
GO:0008282	8
GO:0098843	7
GO:0062129	24
GO:0043190	62
GO:0098533	100
GO:0009326	9
GO:0032421	86
GO:0032437	13
GO:0060091	12
GO:0097732	12
GO:0048788	31
GO:0098831	52
GO:0099569	38
GO:0008305	71
GO:0098636	81
GO:0034451	193
GO:0035230	22
GO:0002178	18
GO:0031211	16
GO:0032541	47
GO:0071782	70
GO:0097038	69
GO:0098827	100
GO:1905961	16
GO:0008623	14
GO:0016589	15
GO:0016590	12
GO:0031010	51
GO:0031213	7
GO:0044300	9
GO:0044301	2
GO:1990032	1
GO:1990597	3
GO:0020011	93
GO:0030173	70
GO:0031228	75
GO:0031902	117
GO:0009279	170
GO:0110143	37
GO:0110146	29
GO:0020003	87
GO:0020005	47
GO:0065010	97
GO:0097149	8
GO:0009519	7
GO:0009531	29
