	0
GO:0003341	399
GO:0006928	5432
GO:0006997	515
GO:0007010	3729
GO:0007015	817
GO:0007017	2440
GO:0007018	939
GO:0007049	4184
GO:0007051	594
GO:0007283	1271
GO:0007286	487
GO:0007291	109
GO:0007297	241
GO:0007298	221
GO:0007300	62
GO:0007303	36
GO:0007349	216
GO:0007391	214
GO:0007405	192
GO:0007444	1210
GO:0007552	1055
GO:0007560	893
GO:0007591	161
GO:0008104	4809
GO:0008283	1228
GO:0008363	38
GO:0009653	12779
GO:0009886	1090
GO:0009887	4936
GO:0010631	491
GO:0010970	473
GO:0016331	627
GO:0016333	89
GO:0016477	2930
GO:0016482	278
GO:0017145	277
GO:0017157	373
GO:0019749	2
GO:0022402	3842
GO:0030029	2100
GO:0030036	1892
GO:0030048	247
GO:0030317	179
GO:0030588	25
GO:0030589	18
GO:0030705	511
GO:0030707	577
GO:0030855	2150
GO:0032879	6777
GO:0032880	1812
GO:0032956	935
GO:0032970	1013
GO:0033036	5782
GO:0033043	3615
GO:0034330	1521
GO:0034331	96
GO:0034643	55
GO:0035239	3334
GO:0035295	4605
GO:0040001	219
GO:0040003	141
GO:0040011	5304
GO:0042303	380
GO:0042335	275
GO:0042337	39
GO:0043954	175
GO:0045165	1382
GO:0045167	58
GO:0045175	14
GO:0045216	449
GO:0045217	51
GO:0045921	148
GO:0046907	3449
GO:0047497	51
GO:0048232	1443
GO:0048515	515
GO:0048522	15922
GO:0048563	913
GO:0048569	1211
GO:0048598	3218
GO:0048646	4706
GO:0048707	993
GO:0048729	3636
GO:0048870	3450
GO:0051046	1451
GO:0051047	690
GO:0051049	4133
GO:0051050	2011
GO:0051128	7155
GO:0051293	259
GO:0051301	1321
GO:0051493	1424
GO:0051640	1730
GO:0051641	7153
GO:0051646	181
GO:0051647	276
GO:0051649	5142
GO:0051653	270
GO:0051654	66
GO:0051656	1258
GO:0051674	3467
GO:0055057	127
GO:0060285	275
GO:0060294	204
GO:0060429	5768
GO:0060562	2090
GO:0060627	1311
GO:0061351	285
GO:0072089	262
GO:0072384	209
GO:0090130	531
GO:0090132	508
GO:0097435	1811
GO:0097722	184
GO:0099111	592
GO:1902850	564
GO:1903047	2145
GO:1903530	1330
GO:1903532	642
GO:0006338	643
GO:0034728	361
GO:0043044	207
GO:0043486	134
GO:0043933	3594
GO:0071824	644
GO:0048483	198
GO:0048484	96
GO:0048485	39
GO:0061548	59
GO:0061549	13
GO:0006396	2768
GO:0016070	4951
GO:0031123	314
GO:0071076	17
GO:0002118	55
GO:0002121	39
GO:0007154	11716
GO:0007267	2183
GO:0007268	921
GO:0007274	188
GO:0007416	377
GO:0007528	314
GO:0007610	2842
GO:0007617	269
GO:0007618	315
GO:0007619	132
GO:0007626	979
