	child_node	joint_count	joint_count_child	cond_prob
115	GO:0000802	92.0	6.0	0.06521739130434782
116	GO:0000803	3715.0	76.0	0.020457604306864066
117	GO:0000804	76.0	0.0	0.0
118	GO:0000805	76.0	28.0	0.3684210526315789
119	GO:0000806	76.0	3.0	0.039473684210526314
120	GO:0000807	76.0	0.0	0.0
121	GO:0000808	1881.0	33.0	0.017543859649122806
122	GO:0000809	0.0	0.0	
123	GO:0000811	67.0	17.0	0.2537313432835821
124	GO:0000812	38.0	38.0	1.0
125	GO:0000813	49.0	22.0	0.4489795918367347
126	GO:0000814	49.0	6.0	0.12244897959183673
127	GO:0000815	49.0	19.0	0.3877551020408163
128	GO:0000817	101.0	4.0	0.039603960396039604
129	GO:0000818	7.0	7.0	1.0
130	GO:0000835	18.0	18.0	1.0
131	GO:0000836	18.0	16.0	0.8888888888888888
132	GO:0000837	18.0	7.0	0.3888888888888889
133	GO:0000838	16.0	2.0	0.125
134	GO:0000839	16.0	14.0	0.875
135	GO:0000922	946.0	258.0	0.2727272727272727
136	GO:0000923	52.0	12.0	0.23076923076923078
137	GO:0000924	2.0	0.0	0.0
138	GO:0000927	10.0	0.0	0.0
139	GO:0000928	4.0	4.0	1.0
140	GO:0000930	489.0	64.0	0.130879345603272
141	GO:0000931	64.0	19.0	0.296875
142	GO:0000932	709.0	216.0	0.304654442877292
143	GO:0000933	115.0	0.0	0.0
144	GO:0000934	115.0	3.0	0.02608695652173913
145	GO:0000935	56.0	47.0	0.8392857142857143
146	GO:0000936	47.0	5.0	0.10638297872340426
147	GO:0000937	3.0	0.0	0.0
148	GO:0000938	57.0	23.0	0.40350877192982454
149	GO:0000939	135.0	22.0	0.16296296296296298
150	GO:0000940	135.0	52.0	0.3851851851851852
151	GO:0000941	18.0	11.0	0.6111111111111112
152	GO:0000942	37.0	35.0	0.9459459459459459
153	GO:0000943	25231.0	2.0	7.92675676746859e-05
154	GO:0000974	14985.0	49.0	0.003269936603269937
155	GO:0001114	14985.0	0.0	0.0
156	GO:0001400	117.0	7.0	0.05982905982905983
157	GO:0001401	57.0	12.0	0.21052631578947367
158	GO:0001405	9.0	9.0	1.0
159	GO:0001411	223.0	76.0	0.34080717488789236
160	GO:0001518	47.0	42.0	0.8936170212765957
161	GO:0001520	15.0	12.0	0.8
162	GO:0001527	63.0	23.0	0.36507936507936506
163	GO:0001533	15351.0	53.0	0.003452543808220963
164	GO:0001534	113.0	7.0	0.061946902654867256
