	child_node	joint_count	joint_count_child	cond_prob
115	GO:0000985	5.0	5.0	1.0
116	GO:0000986	32.0	32.0	1.0
117	GO:0000987	2902.0	1122.0	0.38662991040661615
118	GO:0000992	21.0	21.0	1.0
119	GO:0000993	80.0	80.0	1.0
120	GO:0000994	96.0	2.0	0.020833333333333332
121	GO:0000995	0.0	0.0	
122	GO:0001000	96.0	7.0	0.07291666666666667
123	GO:0001001	0.0	0.0	
124	GO:0001002	10.0	10.0	1.0
125	GO:0001003	21.0	11.0	0.5238095238095238
126	GO:0001006	21.0	12.0	0.5714285714285714
127	GO:0001010	450.0	5.0	0.011111111111111112
128	GO:0001016	2902.0	23.0	0.007925568573397657
129	GO:0001018	2902.0	5.0	0.0017229496898690559
130	GO:0001019	2902.0	0.0	0.0
131	GO:0001025	100.0	5.0	0.05
132	GO:0001039	21.0	0.0	0.0
133	GO:0001042	96.0	5.0	0.052083333333333336
134	GO:0001046	2902.0	151.0	0.052033080634045485
135	GO:0001048	96.0	0.0	0.0
136	GO:0001049	96.0	0.0	0.0
137	GO:0001050	128.0	0.0	0.0
138	GO:0001051	0.0	0.0	
139	GO:0001052	7.0	0.0	0.0
140	GO:0001054	0.0	0.0	
141	GO:0001055	0.0	0.0	
142	GO:0001056	0.0	0.0	
143	GO:0001057	0.0	0.0	
144	GO:0001058	0.0	0.0	
145	GO:0001061	0.0	0.0	
146	GO:0001062	0.0	0.0	
147	GO:0001063	0.0	0.0	
148	GO:0001064	115.0	3.0	0.02608695652173913
149	GO:0001065	0.0	0.0	
150	GO:0001066	0.0	0.0	
151	GO:0001067	10044.0	2912.0	0.2899243329350856
152	GO:0001068	10.0	2.0	0.2
153	GO:0001069	82.0	10.0	0.12195121951219512
154	GO:0001070	3829.0	1.0	0.00026116479498563595
155	GO:0001072	0.0	0.0	
156	GO:0001073	0.0	0.0	
157	GO:0001085	1449.0	104.0	0.07177363699102829
158	GO:0001091	49.0	46.0	0.9387755102040817
159	GO:0001092	38.0	5.0	0.13157894736842105
160	GO:0001093	46.0	9.0	0.1956521739130435
161	GO:0001094	38.0	17.0	0.4473684210526316
162	GO:0001095	38.0	1.0	0.02631578947368421
163	GO:0001096	38.0	3.0	0.07894736842105263
164	GO:0001097	38.0	12.0	0.3157894736842105
165	GO:0001098	46998.0	132.0	0.0028086301544746587
166	GO:0001099	132.0	126.0	0.9545454545454546
167	GO:0001102	92.0	85.0	0.9239130434782609
168	GO:0001103	63.0	54.0	0.8571428571428571
169	GO:0001108	132.0	6.0	0.045454545454545456
170	GO:0001139	0.0	0.0	
171	GO:0001145	0.0	0.0	
172	GO:0001147	2902.0	3.0	0.0010337698139214334
173	GO:0001148	0.0	0.0	
174	GO:0001154	5.0	0.0	0.0
175	GO:0001155	5.0	1.0	0.2
176	GO:0001156	5.0	4.0	0.8
177	GO:0001161	2902.0	18.0	0.006202618883528601
178	GO:0001162	16.0	13.0	0.8125
179	GO:0001163	2902.0	22.0	0.007580978635423846
180	GO:0001164	0.0	0.0	
181	GO:0001165	22.0	5.0	0.22727272727272727
182	GO:0001179	100.0	5.0	0.05
183	GO:0001181	0.0	0.0	
184	GO:0001216	0.0	0.0	
185	GO:0001217	0.0	0.0	
186	GO:0001221	1449.0	112.0	0.07729468599033816
187	GO:0001222	112.0	42.0	0.375
188	GO:0001223	112.0	57.0	0.5089285714285714
189	GO:0001224	112.0	38.0	0.3392857142857143
190	GO:0001225	16.0	15.0	0.9375
191	GO:0001226	24.0	24.0	1.0
192	GO:0001227	0.0	0.0	
193	GO:0001228	0.0	0.0	
194	GO:0001406	0.0	0.0	
195	GO:0001409	0.0	0.0	
196	GO:0001512	4404.0	1.0	0.00022706630336058128
197	GO:0001515	740.0	6.0	0.008108108108108109
198	GO:0001517	157.0	6.0	0.03821656050955414
199	GO:0001530	228.0	98.0	0.4298245614035088
200	GO:0001531	446.0	0.0	0.0
201	GO:0001532	0.0	0.0	
202	GO:0001537	157.0	7.0	0.044585987261146494
203	GO:0001540	566.0	104.0	0.18374558303886926
204	GO:0001565	2714.0	7.0	0.002579218865143699
205	GO:0001566	7.0	2.0	0.2857142857142857
206	GO:0001567	73.0	1.0	0.0136986301369863
207	GO:0001571	2081.0	0.0	0.0
208	GO:0001586	47.0	0.0	0.0
209	GO:0001587	47.0	3.0	0.06382978723404255
210	GO:0001588	28.0	13.0	0.4642857142857143
211	GO:0001591	28.0	12.0	0.42857142857142855
212	GO:0001594	158.0	15.0	0.0949367088607595
213	GO:0001595	0.0	0.0	
214	GO:0001596	0.0	0.0	
215	GO:0001601	12.0	7.0	0.5833333333333334
216	GO:0001602	12.0	6.0	0.5
217	GO:0001604	340.0	1.0	0.0029411764705882353
218	GO:0001605	14.0	4.0	0.2857142857142857
219	GO:0001607	131.0	2.0	0.015267175572519083
220	GO:0001608	1026.0	0.0	0.0
221	GO:0001609	0.0	0.0	
222	GO:0001614	0.0	0.0	
223	GO:0001616	1026.0	5.0	0.004873294346978557
224	GO:0001618	0.0	0.0	
225	GO:0001621	15.0	6.0	0.4
226	GO:0001626	22.0	4.0	0.18181818181818182
227	GO:0001631	11.0	1.0	0.09090909090909091
228	GO:0001632	11.0	4.0	0.36363636363636365
229	GO:0001634	1026.0	0.0	0.0
230	GO:0001635	14.0	5.0	0.35714285714285715
231	GO:0001637	340.0	48.0	0.1411764705882353
232	GO:0001639	0.0	0.0	
233	GO:0001640	0.0	0.0	
234	GO:0001641	14.0	5.0	0.35714285714285715
235	GO:0001642	14.0	7.0	0.5
236	GO:0001646	15.0	4.0	0.26666666666666666
237	GO:0001647	0.0	0.0	
238	GO:0001648	340.0	3.0	0.008823529411764706
239	GO:0001653	2714.0	374.0	0.13780397936624908
240	GO:0001664	2983.0	505.0	0.1692926583975863
241	GO:0001665	65.0	5.0	0.07692307692307693
242	GO:0001671	0.0	0.0	
243	GO:0001681	13.0	4.0	0.3076923076923077
244	GO:0001691	83.0	4.0	0.04819277108433735
245	GO:0001716	77.0	16.0	0.2077922077922078
246	GO:0001727	0.0	0.0	
247	GO:0001729	37.0	25.0	0.6756756756756757
248	GO:0001730	159.0	19.0	0.11949685534591195
249	GO:0001733	5.0	2.0	0.4
250	GO:0001734	35.0	8.0	0.22857142857142856
251	GO:0001735	32.0	3.0	0.09375
252	GO:0001758	250.0	15.0	0.06
253	GO:0001760	243.0	2.0	0.00823045267489712
254	GO:0001761	0.0	0.0	
255	GO:0001784	75.0	51.0	0.68
256	GO:0001785	42.0	2.0	0.047619047619047616
