	node	path	count_node	joint_count	joint_count_child	cond_prob	count_ancestor	rel_freq
22	GO:0000148	GO:0000148,GO:0005575,GO:0005886,GO:0016020,GO:0032991,GO:0071944,GO:0098796,GO:0098797,GO:0110165,GO:1902494,GO:1990234	9	29.0	9.0	0.3103448275862069	82350	0.0001092896174863388
23	GO:0000151	GO:0000151,GO:0005575,GO:0005622,GO:0032991,GO:1902494,GO:1990234	560	1954.0	560.0	0.2865916069600819	82350	0.006800242865816636
24	GO:0000152	GO:0000151,GO:0000152,GO:0005575,GO:0005622,GO:0005634,GO:0032991,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0110165,GO:1902494,GO:1990234	137	306.0	137.0	0.4477124183006536	82350	0.0016636308439587127
25	GO:0000153	GO:0000151,GO:0000153,GO:0005575,GO:0005622,GO:0005737,GO:0032991,GO:0110165,GO:1902494,GO:1990234	32	264.0	32.0	0.12121212121212123	82350	0.0003885853066180935
26	GO:0000159	GO:0000159,GO:0005575,GO:0005622,GO:0008287,GO:0032991,GO:1902494,GO:1903293	39	110.0	39.0	0.3545454545454545	82350	0.00047358834244080146
27	GO:0000164	GO:0000164,GO:0005575,GO:0005622,GO:0005737,GO:0008287,GO:0032991,GO:0110165,GO:1902494,GO:1903293	24	78.0	24.0	0.3076923076923077	82350	0.00029143897996357013
28	GO:0000172	GO:0000172,GO:0005575,GO:0005732,GO:0032991,GO:1902494,GO:1990904	29	76.0	29.0	0.3815789473684211	82350	0.0003521554341226472
29	GO:0000176	GO:0000176,GO:0000178,GO:0005575,GO:0005622,GO:0005634,GO:0031974,GO:0031981,GO:0032991,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0070013,GO:0110165,GO:1902494,GO:1905354	56	68.0	56.0	0.8235294117647058	82350	0.0006800242865816637
30	GO:0000177	GO:0000177,GO:0000178,GO:0005575,GO:0005622,GO:0005737,GO:0032991,GO:0110165,GO:1902494,GO:1905354	31	56.0	31.0	0.5535714285714286	82350	0.0003764420157862781
31	GO:0000178	GO:0000178,GO:0005575,GO:0005622,GO:0032991,GO:1902494,GO:1905354	92	92.0	92.0	1.0	82350	0.0011171827565270187
32	GO:0000214	GO:0000214,GO:0005575,GO:0005622,GO:0005634,GO:0032991,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0110165,GO:1902494,GO:1902555,GO:1905348	5	51.0	5.0	0.09803921568627452	82350	6.071645415907711e-05
33	GO:0000220	GO:0000220,GO:0005575,GO:0005622,GO:0005737,GO:0005773,GO:0016020,GO:0016469,GO:0032991,GO:0033176,GO:0033177,GO:0033179,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0098796,GO:0110165	7	7.0	7.0	1.0	82350	8.500303582270796e-05
34	GO:0000221	GO:0000221,GO:0005575,GO:0005622,GO:0005737,GO:0005773,GO:0005774,GO:0016020,GO:0016469,GO:0016471,GO:0031090,GO:0032991,GO:0033176,GO:0033178,GO:0033180,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0098588,GO:0098796,GO:0098805,GO:0110165	8	8.0	8.0	1.0	82350	9.714632665452337e-05
35	GO:0000228	GO:0000228,GO:0005575,GO:0005622,GO:0005634,GO:0005694,GO:0031974,GO:0031981,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0070013,GO:0110165	1147	2080.0	1147.0	0.5514423076923077	82350	0.013928354584092289
36	GO:0000229	GO:0000229,GO:0005575,GO:0005622,GO:0005694,GO:0005737,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0110165	37	983.0	37.0	0.03763987792472025	82350	0.00044930176077717063
37	GO:0000235	GO:0000235,GO:0005575,GO:0005622,GO:0005737,GO:0005818,GO:0005819,GO:0005856,GO:0005874,GO:0005876,GO:0005881,GO:0015630,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0099080,GO:0099081,GO:0099512,GO:0099513,GO:0110165	84	84.0	84.0	1.0	82350	0.0010200364298724954
38	GO:0000242	GO:0000242,GO:0005575,GO:0005622,GO:0005813,GO:0005815,GO:0005856,GO:0015630,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0110165	49	1266.0	49.0	0.0387045813586098	82350	0.0005950212507589556
39	GO:0000243	GO:0000243,GO:0005575,GO:0005622,GO:0005634,GO:0005681,GO:0005684,GO:0032991,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0110165,GO:1990904	15	156.0	15.0	0.09615384615384616	82350	0.00018214936247723133
40	GO:0000262	GO:0000229,GO:0000262,GO:0005575,GO:0005622,GO:0005694,GO:0005737,GO:0005739,GO:0005759,GO:0009295,GO:0031974,GO:0042645,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0070013,GO:0110165	16	16.0	16.0	1.0	82350	0.00019429265330904674
41	GO:0000274	GO:0000274,GO:0000276,GO:0005575,GO:0005622,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0005753,GO:0016020,GO:0016469,GO:0019866,GO:0031090,GO:0031966,GO:0031967,GO:0031975,GO:0032991,GO:0033177,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0045259,GO:0045263,GO:0045265,GO:0098796,GO:0098798,GO:0098800,GO:0110165	3	3.0	3.0	1.0	82350	3.6429872495446266e-05
42	GO:0000275	GO:0000275,GO:0005575,GO:0005622,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0005753,GO:0016020,GO:0016469,GO:0019866,GO:0031090,GO:0031966,GO:0031967,GO:0031975,GO:0032991,GO:0033178,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0045259,GO:0045261,GO:0098796,GO:0098798,GO:0098800,GO:0110165	21	21.0	21.0	1.0	82350	0.00025500910746812386
